@title,Edinburgh Claudication Questionnaire
1. هل تشعر بألم أو انزعاج في ساقيك عند المشي؟,نعم,لا
2. هل يبدأ هذا الألم عندما تكون واقفًا أو جالسًا؟,نعم,لا
3. هل تشعر بألم عند المشي صعودًا أو الإسراع في المشي؟,نعم,لا
4. هل تشعر بألم عند المشي بوتيرة عادية على أرض مستوية؟,نعم,لا
5. ماذا يحدث إذا وقفت؟,يختفي الألم خلال 10 دقائق أو أقل,لا يختفي خلال 10 دقائق أو أقل
6. أين تشعر بهذا الألم؟,بطة الساق / الربلة,الفخذ فقط,الأرداف فقط,الفخذ أو الأرداف فقط,أوتار الركبة,القدم,قصبة الساق,المفاصل,ألم ممتد أو منتشر
